Nombre,URL,Lenguaje Principal,AWS,Azure,Docker,GitHub Actions,Google Cloud,Heroku,Netlify,Terraform,Vercel
proyecto-si8811a-2024-ii-u2-api-y-funciones-anahua,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u2-api-y-funciones-anahua,HTML,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u3-reportes_chambilla_llantay,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u3-reportes_chambilla_llantay,HTML,False,False,True,True,False,False,False,False,False
proyecto-si8811a-2024-ii-u2-api-y-funciones-meza-y-castaneda,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u2-api-y-funciones-meza-y-castaneda,Python,False,False,False,True,False,False,False,False,False
proyecto-si885-2024-ii-u3-tg03agredacastanedacontrerasortiz,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u3-tg03agredacastanedacontrerasortiz,Python,False,True,False,True,False,False,False,True,False
proyecto-si885-2024-ii-u3-tg01apazachuracutcutiescohuallpass,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u3-tg01apazachuracutcutiescohuallpass,Jupyter Notebook,True,False,False,True,False,False,False,True,False
proyecto-si784-2024-ii-u3-caxi_aguilar,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u3-caxi_aguilar,JavaScript,False,False,False,True,False,False,False,False,False
proyecto-si885-2024-ii-u3-tgchavezarcelirasoto,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u3-tgchavezarcelirasoto,HCL,True,False,False,False,False,False,False,False,False
proyecto-si784-2024-ii-u3-floresramos_s_t,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u3-floresramos_s_t,JavaScript,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u3-tapia_ayma_poma,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u3-tapia_ayma_poma,HTML,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u3-floresq_leyva_chambi,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u3-floresq_leyva_chambi,Python,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u3-hernandez_contreras_paja,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u3-hernandez_contreras_paja,HTML,False,False,False,True,False,False,False,False,False
proyecto-si885-2024-ii-u3-tgmezaquispelunamamanihernandez,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u3-tgmezaquispelunamamanihernandez,HCL,False,False,False,False,False,False,False,False,False
proyecto-si8811b-2024-ii-u2-frontendweb,https://github.com/UPT-FAING-EPIS/proyecto-si8811b-2024-ii-u2-frontendweb,JavaScript,False,False,False,False,False,False,False,False,False
proyecto-si982-2024-rec-u1-salinas-condori,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u1-salinas-condori,JavaScript,False,False,False,False,False,False,False,False,False
proyecto-si982-2024-rec-u1-delacruz_vela,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u1-delacruz_vela,HCL,False,False,False,False,False,False,False,False,False
proyecto-si982-2024-rec-u1-ccalli_apaza,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u1-ccalli_apaza,C#,False,False,False,False,False,False,False,False,False
proyecto-si982-2024-rec-u1-medina_zevallos,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u1-medina_zevallos,HCL,False,False,False,False,False,False,False,False,False
proyecto-si982-2024-rec-u1-concha-ticahuanca,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u1-concha-ticahuanca,C#,False,False,False,False,False,False,False,False,False
proyecto-si982-2024-rec-u2-proyectou2_web2_ccalli_apaza,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u2-proyectou2_web2_ccalli_apaza,C#,False,False,False,True,False,False,False,True,False
proyecto-si982-2024-rec-u2-proyecto_w2u2_salinas_condori,https://github.com/UPT-FAING-EPIS/proyecto-si982-2024-rec-u2-proyecto_w2u2_salinas_condori,JavaScript,False,True,True,True,False,False,False,True,False
